Month End,Current (Arrival) Region,Current (Arrival) District,Previous (Departure) Region,Previous (Departure) District,Reason,Current (Arrival) Priority Need,nrind,year,week
30/04/2018,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Flood,Shelter,78000,2018,17
31/05/2018,Hiraan,Jalalaqsi,Hiraan,Jalalaqsi,Flood,Food,34956,2018,21
30/04/2018,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Flood,Shelter,12786,2018,17
30/04/2018,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Flood,Food,5640,2018,17
28/02/2017,Galgaduud,Dhuusamarreeb,Hiraan,Belet Weyne,Drought related,Food,5550,2017,7
30/04/2018,Hiraan,Jalalaqsi,Hiraan,Jalalaqsi,Flood,Shelter,5038,2018,17
31/05/2018,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Flood,Food,3858,2018,18
31/05/2018,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Flood,Shelter,3576,2018,18
31/10/2018,Hiraan,Jalalaqsi,Hiraan,Bulo Burto,Conflict/Insecurity,Food,3480,2018,40
30/06/2017,Galgaduud,Dhuusamarreeb,Hiraan,Belet Weyne,Conflict/Insecurity,Food,3147,2017,25
31/10/2018,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Conflict/Insecurity,Food,2520,2018,40
30/06/2019,Galgaduud,Dhuusamarreeb,Hiraan,Belet Weyne,Conflict/Insecurity,Other,2154,2019,26
30/06/2019,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Conflict/Insecurity,Other,1920,2019,26
31/05/2019,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Flood,Food,1560,2019,20
30/04/2018,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Flood,Shelter,1400,2018,17
30/11/2018,Hiraan,Bulo Burto,Hiraan,Belet Weyne,Drought related,Other,1200,2018,47
31/03/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Shelter,1165,2017,9
30/04/2018,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Flood,Shelter,1110,2018,17
31/10/2018,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Conflict/Insecurity,Food,1080,2018,41
31/10/2018,Hiraan,Jalalaqsi,Hiraan,Jalalaqsi,Conflict/Insecurity,Food,894,2018,41
31/12/2018,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Conflict/Insecurity,Food,840,2018,51
31/03/2017,Galgaduud,Dhuusamarreeb,Hiraan,Belet Weyne,Drought related,Food,822,2017,10
31/03/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Shelter,810,2017,10
31/07/2018,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Conflict/Insecurity,Food,720,2018,28
28/02/2017,Galgaduud,Dhuusamarreeb,Hiraan,Belet Weyne,Drought related,Food,713,2017,6
30/06/2019,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Conflict/Insecurity,Other,684,2019,26
31/03/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Other,670,2017,11
31/03/2017,Hiraan,Belet Weyne,Hiraan,Bulo Burto,Drought related,Shelter,552,2017,10
31/03/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Shelter,540,2017,9
31/05/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Other,528,2019,19
31/07/2017,Togdheer,Buuhoodle,Hiraan,Bulo Burto,Drought related,Shelter,512,2017,27
30/04/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Water,510,2018,17
30/04/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Food,482,2017,17
31/03/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Shelter,480,2017,10
31/07/2017,Togdheer,Buuhoodle,Hiraan,Jalalaqsi,Drought related,Livelihood Support,453,2017,27
31/05/2018,Bakool,Tayeeglow,Hiraan,Belet Weyne,Flood,Other,450,2018,18
