Month End,Current (Arrival) Region,Current (Arrival) District,Previous (Departure) Region,Previous (Departure) District,Reason,Current (Arrival) Priority Need,nrind,year,week
31/01/2016,Woqooyi Galbeed,Berbera,Sool,Caynabo,Drought related,Livelihood Support,5,2016,2
31/01/2016,Woqooyi Galbeed,Berbera,Sool,Caynabo,Drought related,Livelihood Support,3,2016,2
29/02/2016,Bari,Qardho,Sool,Taleex,Drought related,Other,5,2016,7
29/02/2016,Sool,Laas Caanood,Sool,Laas Caanood,Drought related,Water,12,2016,5
29/02/2016,Sool,Laas Caanood,Sool,Laas Caanood,Drought related,Livelihood Support,10,2016,5
29/02/2016,Sool,Laas Caanood,Sool,Xudun,Drought related,Transport,7,2016,9
29/02/2016,Sool,Laas Caanood,Sool,Xudun,Drought related,Livelihood Support,10,2016,9
29/02/2016,Woqooyi Galbeed,Hargeysa,Sool,Caynabo,Drought related,Food,5,2016,5
29/02/2016,Woqooyi Galbeed,Hargeysa,Sool,Caynabo,Drought related,Food,5,2016,6
31/03/2016,Bari,Qardho,Sool,Taleex,Drought related,Food,5,2016,13
31/03/2016,Sool,Laas Caanood,Sool,Taleex,Drought related,Livelihood Support,100,2016,12
31/03/2016,Sool,Laas Caanood,Sool,Xudun,Drought related,Water,130,2016,13
31/03/2016,Woqooyi Galbeed,Hargeysa,Sool,Caynabo,Drought related,Water,7,2016,12
31/03/2016,Woqooyi Galbeed,Hargeysa,Sool,Laas Caanood,Drought related,Food,7,2016,11
31/03/2016,Woqooyi Galbeed,Hargeysa,Sool,Laas Caanood,Drought related,Transport,6,2016,12
30/04/2016,Sool,Laas Caanood,Sool,Laas Caanood,Drought related,Water,10,2016,14
30/04/2016,Sool,Laas Caanood,Sool,Laas Caanood,Drought related,Water,46,2016,16
30/04/2016,Sool,Laas Caanood,Sool,Laas Caanood,Drought related,Water,37,2016,17
30/04/2016,Sool,Laas Caanood,Sool,Taleex,Drought related,Water,19,2016,14
30/04/2016,Sool,Laas Caanood,Sool,Taleex,Drought related,Food,13,2016,15
30/04/2016,Sool,Laas Caanood,Sool,Taleex,Drought related,Food,19,2016,16
30/04/2016,Sool,Laas Caanood,Sool,Xudun,Drought related,Livelihood Support,11,2016,13
30/04/2016,Sool,Laas Caanood,Sool,Xudun,Drought related,Water,21,2016,14
30/04/2016,Sool,Laas Caanood,Sool,Xudun,Drought related,Food,36,2016,14
30/04/2016,Sool,Laas Caanood,Sool,Xudun,Drought related,Water,14,2016,16
30/04/2016,Sool,Taleex,Sool,Taleex,Drought related,Shelter,20,2016,14
30/04/2016,Woqooyi Galbeed,Hargeysa,Sool,Caynabo,Drought related,Food,4,2016,14
31/05/2016,Bari,Qardho,Sool,Taleex,Drought related,Livelihood Support,5,2016,17
31/05/2016,Sool,Laas Caanood,Sool,Caynabo,Drought related,Shelter,9,2016,18
31/05/2016,Sool,Laas Caanood,Sool,Caynabo,Drought related,Shelter,6,2016,20
31/05/2016,Sool,Laas Caanood,Sool,Caynabo,Drought related,Transport,13,2016,20
31/05/2016,Sool,Laas Caanood,Sool,Caynabo,Drought related,Shelter,8,2016,21
31/05/2016,Sool,Laas Caanood,Sool,Caynabo,Drought related,Shelter,16,2016,21
31/05/2016,Sool,Laas Caanood,Sool,Laas Caanood,Drought related,Protection,10,2016,19
31/05/2016,Sool,Laas Caanood,Sool,Taleex,Drought related,Water,38,2016,17
31/05/2016,Sool,Laas Caanood,Sool,Taleex,Drought related,Shelter,10,2016,18
31/05/2016,Sool,Laas Caanood,Sool,Taleex,Drought related,Transport,11,2016,18
31/05/2016,Sool,Laas Caanood,Sool,Taleex,Drought related,Transport,9,2016,19
31/05/2016,Sool,Laas Caanood,Sool,Taleex,Drought related,Food,7,2016,19
31/05/2016,Sool,Laas Caanood,Sool,Taleex,Drought related,Transport,8,2016,19
31/05/2016,Sool,Laas Caanood,Sool,Taleex,Drought related,Shelter,6,2016,20
31/05/2016,Sool,Laas Caanood,Sool,Xudun,Drought related,Shelter,20,2016,17
31/05/2016,Sool,Laas Caanood,Sool,Xudun,Drought related,Shelter,6,2016,18
31/05/2016,Sool,Laas Caanood,Sool,Xudun,Drought related,Other,2,2016,19
31/05/2016,Sool,Laas Caanood,Sool,Xudun,Drought related,Transport,7,2016,19
31/05/2016,Sool,Laas Caanood,Sool,Xudun,Drought related,Shelter,7,2016,19
31/05/2016,Sool,Laas Caanood,Sool,Xudun,Drought related,Transport,9,2016,19
31/05/2016,Sool,Laas Caanood,Sool,Xudun,Drought related,Shelter,6,2016,20
31/05/2016,Sool,Taleex,Sool,Taleex,Drought related,Food,300,2016,20
31/05/2016,Woqooyi Galbeed,Hargeysa,Sool,Laas Caanood,Drought related,Food,5,2016,17
31/05/2016,Woqooyi Galbeed,Hargeysa,Sool,Laas Caanood,Drought related,Food,3,2016,19
30/06/2016,Bari,Qardho,Sool,Taleex,Drought related,Food,4,2016,24
30/06/2016,Bari,Qardho,Sool,Taleex,Drought related,Food,6,2016,25
30/06/2016,Sool,Laas Caanood,Sool,Caynabo,Drought related,Shelter,6,2016,22
30/06/2016,Sool,Laas Caanood,Sool,Laas Caanood,Drought related,Livelihood Support,17,2016,23
30/06/2016,Sool,Laas Caanood,Sool,Laas Caanood,Drought related,Food,7,2016,24
30/06/2016,Sool,Laas Caanood,Sool,Laas Caanood,Drought related,Protection,9,2016,25
30/06/2016,Sool,Laas Caanood,Sool,Taleex,Drought related,Shelter,7,2016,22
30/06/2016,Sool,Laas Caanood,Sool,Taleex,Drought related,Transport,3,2016,22
30/06/2016,Sool,Laas Caanood,Sool,Taleex,Drought related,Shelter,13,2016,23
30/06/2016,Sool,Laas Caanood,Sool,Taleex,Drought related,Food,8,2016,23
