year,week,SMN,SMT,VCI,TCI,VHI
1982,1,0.07,304.93,26.21,56.79,41.5
1982,2,0.068,305.28,25.3,53.81,39.55
1982,3,0.068,305.7,24.78,52.65,38.71
1982,4,0.067,306.08,24.77,55.49,40.13
1982,5,0.066,306.42,24.7,60.04,42.37
1982,6,0.066,306.82,24.07,62.97,43.52
1982,7,0.066,307.42,25.08,64.99,45.03
1982,8,0.067,308.25,27.44,63.89,45.67
1982,9,0.068,309.11,29.27,61.32,45.3
1982,10,0.07,310.01,32.92,57.29,45.11
1982,11,0.072,310.82,36.21,53.67,44.94
1982,12,0.071,310.99,35.9,56.36,46.13
1982,13,0.069,310.88,33.28,61.26,47.27
1982,14,0.066,310.46,28.53,67.14,47.84
1982,15,0.063,309.96,25.8,73.42,49.61
1982,16,0.06,309.83,25.33,75.48,50.4
1982,17,0.057,309.15,23.16,75.77,49.46
1982,18,0.054,308.45,22.67,72.18,47.43
1982,19,0.053,307.81,22.24,69.18,45.71
1982,20,0.052,307.22,22.72,66.35,44.54
1982,21,0.051,306.69,22.55,63.79,43.17
1982,22,0.05,306.13,21.34,61.76,41.55
1982,23,0.048,305.74,20.69,60.87,40.78
1982,24,0.049,305.88,23.75,59,41.38
1982,25,0.048,305.75,25.79,58.47,42.13
1982,26,0.047,305.81,29.6,54.6,42.1
1982,27,0.046,305.55,32.19,58.39,45.29
1982,28,0.045,305.61,36.4,59.25,47.82
1982,29,0.043,305.94,33.29,57.39,45.34
1982,30,0.04,305.83,25.7,59.83,42.76
1982,31,0.038,306,22.29,57.75,40.02
1982,32,0.039,306.17,23.19,56.71,39.95
1982,33,0.039,306.5,24.46,55.39,39.93
1982,34,0.04,307,26.11,52.57,39.34
1982,35,0.041,307.05,26.72,56.35,41.54
1982,36,0.043,307.21,26.93,55.39,41.16
1982,37,0.044,307.18,22.92,57.69,40.3
1982,38,0.045,307.38,20.22,56.46,38.34
1982,39,0.048,307.98,18.44,48.83,33.63
1982,40,0.051,308.07,15.64,49.16,32.4
1982,41,0.055,308.08,15.11,49.37,32.24
1982,42,0.06,308.01,15.52,47.6,31.56
1982,43,0.063,307.48,16.08,47.54,31.81
1982,44,0.065,306.93,17.02,46.71,31.87
1982,45,0.066,305.94,16.9,52.33,34.61
1982,46,0.067,305.16,18.38,55.28,36.83
1982,47,0.067,304.62,18.51,56.34,37.42
1982,48,0.066,303.74,16.59,61.76,39.18
1982,49,0.066,303.41,15.84,64.66,40.25
1982,50,0.067,303.2,16.85,75.36,46.11
1982,51,0.069,303.48,19.72,73.45,46.58
1982,52,0.071,304,24.31,66.28,45.29
1983,1,0.072,304.19,26.54,68.19,47.36
1983,2,0.072,304.6,28.17,64.1,46.13
1983,3,0.07,305.01,26.98,62.99,44.98
1983,4,0.068,305.25,23.95,67.66,45.81
1983,5,0.068,305.74,24.72,70.25,47.49
1983,6,0.069,306.22,26.92,72.25,49.59
1983,7,0.07,306.77,30.79,74.94,52.86
1983,8,0.072,307.42,33.78,76.57,55.18
1983,9,0.071,307.77,33.18,82.15,57.67
1983,10,0.071,308.09,31.72,86.8,59.26
1983,11,0.071,308.6,33.04,87.79,60.41
1983,12,0.07,308.87,33.26,88.42,60.84
1983,13,0.068,308.95,31.16,90.3,60.73
1983,14,0.065,308.63,27.03,92.98,60
1983,15,0.063,308.64,26.01,91,58.51
1983,16,0.062,309.09,29.39,85.37,57.38
1983,17,0.062,309.19,33.75,76.05,54.9
1983,18,0.06,308.97,35.1,67.34,51.22
1983,19,0.06,308.66,35.84,61.44,48.64
