year,week,SMN,SMT,VCI,TCI,VHI
1982,1,0.131,309.51,25.33,38.84,32.08
1982,2,0.124,310.16,22.46,41.26,31.86
1982,3,0.119,310.91,20.7,44.67,32.68
1982,4,0.115,311.66,20.21,47.73,33.97
1982,5,0.114,312.33,20.6,50.71,35.65
1982,6,0.111,312.76,20.51,55.71,38.11
1982,7,0.109,313.09,21.73,60.48,41.11
1982,8,0.108,313.33,24.45,63.9,44.17
1982,9,0.107,313.32,27.98,67.32,47.65
1982,10,0.109,313.21,31.95,65.23,48.59
1982,11,0.109,312.81,34.71,61.27,47.99
1982,12,0.109,311.93,36.87,59.25,48.06
1982,13,0.109,310.41,39.57,60.5,50.03
1982,14,0.112,308.1,40.99,67.08,54.04
1982,15,0.118,305.29,42.66,73.38,58.02
1982,16,0.132,302.96,48.96,79.44,64.2
1982,17,0.148,301.12,55.49,82.97,69.23
1982,18,0.16,299.66,59.08,84.7,71.89
1982,19,0.167,298.67,60.28,85.32,72.8
1982,20,0.167,298.08,59.52,82.21,70.86
1982,21,0.161,297.97,57.3,75.59,66.45
1982,22,0.15,298.36,53.85,64.29,59.07
1982,23,0.136,299.17,49.66,50.74,50.2
1982,24,0.122,300.15,46.49,39.66,43.08
1982,25,0.109,300.67,45.07,32.84,38.95
1982,26,0.096,300.48,43.57,33.07,38.32
1982,27,0.086,300.61,41.44,33.48,37.46
1982,28,0.078,300.94,39.07,33.08,36.07
1982,29,0.072,301.14,37.54,34.41,35.97
1982,30,0.063,300.67,32.55,40.61,36.58
1982,31,0.054,300.14,27.9,46.95,37.42
1982,32,0.052,300.5,27.18,47.28,37.23
1982,33,0.051,301.11,26.11,46.48,36.3
1982,34,0.051,301.55,26.17,46.83,36.5
1982,35,0.058,302.54,34.67,45.33,40
1982,36,0.067,303.54,43.99,42.15,43.07
1982,37,0.076,304.01,48.62,44.47,46.55
1982,38,0.088,303.67,54.53,53.28,53.9
1982,39,0.102,302.72,59.94,63.16,61.55
1982,40,0.124,302.37,67.09,62.96,65.03
1982,41,0.149,301.96,72.48,65.6,69.04
1982,42,0.174,300.97,74.7,73.89,74.29
1982,43,0.196,300.03,75.79,79.31,77.55
1982,44,0.218,300.11,78.2,74.65,76.42
1982,45,0.236,300.88,80.99,66.91,73.95
1982,46,0.243,301.55,80.65,62.59,71.62
1982,47,0.241,302.19,78.06,60.91,69.48
1982,48,0.238,303.33,76.05,56.87,66.46
1982,49,0.229,304.46,72.23,53.29,62.76
1982,50,0.215,305.32,67.14,52.27,59.71
1982,51,0.202,306.18,61.95,52.1,57.02
1982,52,0.188,306.99,56.87,51.34,54.11
1983,1,0.174,307.78,52.06,51.84,51.95
1983,2,0.16,308.4,46.09,55.58,50.84
1983,3,0.145,308.93,39.14,62.15,50.65
1983,4,0.133,309.57,33.75,67.79,50.77
1983,5,0.126,310.33,31.33,71.2,51.27
1983,6,0.122,310.94,30.76,75.5,53.13
1983,7,0.117,311.27,29.82,81.97,55.89
1983,8,0.114,311.68,30.72,85.62,58.17
1983,9,0.113,312.19,33.24,82.87,58.06
1983,10,0.112,312.38,34.97,76.33,55.65
1983,11,0.111,312.26,37.32,68.47,52.9
1983,12,0.112,311.82,40.39,60.51,50.45
1983,13,0.112,310.8,42.75,56.42,49.59
1983,14,0.111,309.37,41.04,55.55,48.29
1983,15,0.113,307.66,39.17,54.33,46.75
1983,16,0.121,306.06,40.24,54.15,47.2
1983,17,0.132,304.59,43.72,52.13,47.93
1983,18,0.146,303.65,49.32,44.67,46.99
1983,19,0.16,303.07,55.87,39.47,47.67
1983,20,0.17,302.65,62.93,36.09,49.51
1983,21,0.176,302.54,69.56,30.57,50.06
1983,22,0.174,302.63,73.84,25.08,49.46
1983,23,0.164,302.01,73.22,27,50.11
1983,24,0.157,302.18,75.19,23.77,49.48
1983,25,0.147,302.61,75.25,18.12,46.69
1983,26,0.131,302.51,71.32,17.81,44.57
1983,27,0.114,301.74,63.83,24.45,44.14
1983,28,0.099,300.71,55.43,33.93,44.68
1983,29,0.087,300.08,48.99,41.39,45.19
1983,30,0.074,299.65,41.78,47.19,44.48
