year,week,SMN,SMT,VCI,TCI,VHI
1982,1,0.079,310.16,12.15,65.74,38.95
1982,2,0.076,310.38,10.48,70.31,40.4
1982,3,0.074,310.7,9.77,73.46,41.61
1982,4,0.073,310.89,10.57,77.68,44.13
1982,5,0.073,311.17,12.21,79.95,46.08
1982,6,0.072,311.48,13.4,80.94,47.17
1982,7,0.072,311.88,15.32,81.98,48.65
1982,8,0.073,312.49,18.74,79.82,49.28
1982,9,0.074,313.07,21.51,77.79,49.65
1982,10,0.075,313.68,26.62,74.84,50.73
1982,11,0.076,314.08,29.94,73.57,51.75
1982,12,0.075,313.8,29.39,76.11,52.75
1982,13,0.071,313.13,25.06,77.36,51.21
1982,14,0.067,312.22,18.49,78.49,48.49
1982,15,0.065,311.1,16.41,77.64,47.03
1982,16,0.064,310.01,16.47,76.17,46.32
1982,17,0.061,308.36,13.9,77.16,45.53
1982,18,0.06,306.82,14.34,75.87,45.11
1982,19,0.06,305.59,15.37,74.12,44.75
1982,20,0.062,304.69,17.94,71.39,44.66
1982,21,0.064,304.31,21.89,66.01,43.95
1982,22,0.063,303.91,22.75,61.11,41.93
1982,23,0.061,303.6,21.74,58.3,40.02
1982,24,0.06,303.66,22.34,56.4,39.37
1982,25,0.057,303.54,22.29,54.63,38.46
1982,26,0.054,303.58,23.3,47.93,35.62
1982,27,0.052,303.63,24.03,46.9,35.47
1982,28,0.051,303.92,28.43,48.06,38.25
1982,29,0.049,304.49,29.45,45.23,37.34
1982,30,0.045,304.74,25.08,46.62,35.85
1982,31,0.044,305.07,24.18,47.44,35.81
1982,32,0.043,305.49,24.89,46.52,35.71
1982,33,0.044,306.06,26.13,44.54,35.34
1982,34,0.045,306.96,29.69,39.96,34.83
1982,35,0.047,307.63,32.22,39.09,35.65
1982,36,0.05,308.13,33.83,39.91,36.87
1982,37,0.052,308.36,31.97,43.61,37.79
1982,38,0.055,308.36,31.43,47.24,39.34
1982,39,0.06,308.48,32.42,46.47,39.45
1982,40,0.067,308.68,33.73,45.4,39.56
1982,41,0.074,308.88,34.18,45.5,39.84
1982,42,0.082,309.25,33.67,44.42,39.05
1982,43,0.089,309.64,33.61,41.6,37.61
1982,44,0.094,310.04,33.44,37.32,35.38
1982,45,0.097,310.25,32.59,35.28,33.94
1982,46,0.1,310.35,32.26,35.37,33.81
1982,47,0.1,310.4,30.25,36.57,33.41
1982,48,0.1,310.29,27.52,39.2,33.36
1982,49,0.098,310.18,24.76,43.85,34.3
1982,50,0.097,310.04,26.38,51.93,39.15
1982,51,0.097,310.16,28.11,55.27,41.69
1982,52,0.098,310.58,31.57,52.39,41.98
1983,1,0.097,311.11,33.65,49.87,41.76
1983,2,0.095,311.58,33.36,50.39,41.88
1983,3,0.09,311.83,29.48,54.47,41.97
1983,4,0.086,311.99,27.21,59.95,43.58
1983,5,0.084,312.13,26.83,65.2,46.02
