Previous (Departure) Region,Reason,nrind,year,week
Lower Shabelle,Conflict/Insecurity,180,2017,6
Lower Shabelle,Conflict/Insecurity,150,2017,6
Lower Shabelle,Conflict/Insecurity,600,2017,7
Lower Shabelle,Conflict/Insecurity,104,2017,7
Lower Shabelle,Conflict/Insecurity,180,2017,8
Lower Shabelle,Conflict/Insecurity,3,2017,10
Lower Shabelle,Conflict/Insecurity,6,2017,10
Lower Shabelle,Conflict/Insecurity,216,2017,18
Lower Shabelle,Conflict/Insecurity,2,2017,18
Lower Shabelle,Conflict/Insecurity,8,2017,20
Lower Shabelle,Conflict/Insecurity,7,2017,20
Lower Shabelle,Conflict/Insecurity,252,2017,21
Lower Shabelle,Conflict/Insecurity,8,2017,18
Lower Shabelle,Conflict/Insecurity,360,2017,21
Lower Shabelle,Conflict/Insecurity,1682,2017,21
Lower Shabelle,Conflict/Insecurity,7,2017,21
Lower Shabelle,Conflict/Insecurity,490,2017,22
Lower Shabelle,Conflict/Insecurity,114,2017,21
Lower Shabelle,Conflict/Insecurity,180,2017,21
Lower Shabelle,Conflict/Insecurity,240,2017,21
Lower Shabelle,Conflict/Insecurity,250,2017,21
Lower Shabelle,Conflict/Insecurity,930,2017,21
Lower Shabelle,Conflict/Insecurity,4335,2017,21
Lower Shabelle,Conflict/Insecurity,780,2017,21
Lower Shabelle,Conflict/Insecurity,390,2017,21
Lower Shabelle,Conflict/Insecurity,360,2017,21
Lower Shabelle,Conflict/Insecurity,1650,2017,21
Lower Shabelle,Conflict/Insecurity,175,2017,21
Lower Shabelle,Conflict/Insecurity,1760,2017,22
Lower Shabelle,Conflict/Insecurity,1890,2017,22
Lower Shabelle,Conflict/Insecurity,300,2017,21
Lower Shabelle,Conflict/Insecurity,330,2017,18
Lower Shabelle,Conflict/Insecurity,1154,2017,18
Lower Shabelle,Conflict/Insecurity,715,2017,18
Lower Shabelle,Conflict/Insecurity,120,2017,18
Lower Shabelle,Conflict/Insecurity,345,2017,18
Lower Shabelle,Conflict/Insecurity,150,2017,18
Lower Shabelle,Conflict/Insecurity,140,2017,20
Lower Shabelle,Conflict/Insecurity,150,2017,20
Lower Shabelle,Conflict/Insecurity,470,2017,21
Lower Shabelle,Conflict/Insecurity,785,2017,21
Lower Shabelle,Conflict/Insecurity,1283,2017,21
Lower Shabelle,Conflict/Insecurity,630,2017,21
Lower Shabelle,Conflict/Insecurity,1375,2017,21
Lower Shabelle,Conflict/Insecurity,330,2017,21
Lower Shabelle,Conflict/Insecurity,185,2017,21
Lower Shabelle,Conflict/Insecurity,330,2017,21
Lower Shabelle,Conflict/Insecurity,1210,2017,21
Lower Shabelle,Conflict/Insecurity,675,2017,21
Lower Shabelle,Conflict/Insecurity,450,2017,21
Lower Shabelle,Conflict/Insecurity,1050,2017,21
Lower Shabelle,Conflict/Insecurity,454,2017,21
